id	updated_at	exported_at	facility_id	type	date	critical_violations	non_critical_violations
257	2013-03-05 15:09:23	2013-04-15 04:28:24	206	Follow-up Inspection	2013-03-05	0	0
258	2013-03-05 15:09:23	2013-04-15 04:28:25	206	Standard Inspection	2013-02-27	0	1
259	2013-03-05 15:09:28	2013-04-15 04:28:25	207	Complaint Inspection	2013-03-05	0	0
260	2013-03-05 15:09:28	2013-04-15 04:28:25	207	Standard Inspection	2013-02-21	1	5
261	2013-03-05 15:09:31	2013-04-15 04:28:26	208	Follow-up Inspection	2013-02-19	0	1
262	2013-03-05 15:09:31	0000-00-00 00:00:00	208	Standard Inspection	2013-02-13	8	7
263	2013-03-05 15:09:34	0000-00-00 00:00:00	209	Standard Inspection	2013-01-16	0	1
264	2013-03-05 15:09:37	0000-00-00 00:00:00	210	Standard Inspection	2013-01-07	0	4
265	2013-03-05 15:09:38	0000-00-00 00:00:00	211	Standard Inspection	2013-01-31	1	1
266	2013-03-05 15:09:40	0000-00-00 00:00:00	212	Standard Inspection	2013-02-01	1	1
267	2013-03-05 15:09:42	0000-00-00 00:00:00	213	Follow-up Inspection	2013-01-18	0	0
268	2013-03-05 15:09:42	0000-00-00 00:00:00	213	Follow-up Inspection	2013-01-04	0	4
269	2013-03-05 15:09:45	0000-00-00 00:00:00	214	Standard Inspection	2013-02-07	0	0
270	2013-03-05 15:09:46	0000-00-00 00:00:00	215	Standard Inspection	2013-02-11	0	0
271	2013-03-05 15:09:48	0000-00-00 00:00:00	216	Standard Inspection	2013-02-11	1	0
272	2013-03-05 15:09:51	2013-04-15 04:28:26	217	Standard Inspection	2013-02-26	1	3
273	2013-03-05 15:09:54	0000-00-00 00:00:00	218	Standard Inspection	2013-01-09	0	0
274	2013-03-05 15:09:56	0000-00-00 00:00:00	219	Standard Inspection	2013-02-12	1	5
275	2013-03-05 15:09:59	0000-00-00 00:00:00	220	Standard Inspection	2013-02-05	0	3
276	2013-03-05 15:10:01	0000-00-00 00:00:00	221	Follow-up Inspection	2013-02-01	0	0
277	2013-03-05 15:10:01	0000-00-00 00:00:00	221	Standard Inspection	2013-01-28	1	3
278	2013-03-05 15:10:05	0000-00-00 00:00:00	222	Standard Inspection	2013-01-04	0	2
279	2013-03-05 15:10:07	2013-04-15 04:28:26	223	Standard Inspection	2013-02-20	0	1
